Artist_name,Artist_id,Artist_genres,Artist_followers,Artist_popularity
Paul McCartney,4STHEaNw4mPZ2tzheohgXB,"['classic rock', 'mellow gold', 'rock', 'soft rock']",4855798,71
大淵 MUTA,4pWDJ1CIEJGf6AzU1HIDgM,['taiwan hip hop'],16113,26
KID林柏昇,4wXA1NI4L4kF95dOqUWV11,[],209,13
WONWOO,3rHcBT06Vb1XGVUWhDALZt,[],425279,49
bbno$,41X1TR6hrK8Q2ZCpp2EqCz,"['canadian hip hop', 'dark trap', 'meme rap']",1556335,73
Fat Max Gsus,4FJvChnzwDxBkD1jzSjNPq,[],335,34
Mufasa,4L2dV3zY7RmkeiNO035Fi0,['pop dance'],17541,61
Ben&Ben,22wbnEMDvgVIAGdFeek6ET,['singer-songwriter pop'],3319931,85
Diane Guerrero,18MFcGBHtyW0mU3ufcm0X1,['movie tunes'],12085,59
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,"['east coast hip hop', 'hip hop', 'rap']",14722549,84
Galantis,4sTQVOfp9vEMCemLw50sbu,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",3372372,71
GOT the beat,6uNxlIP5lzPFf0BHuELOuX,['k-pop'],771741,50
老莫 ILL MO,4JGm6vTwtCqjf0C3kxXx6y,['chinese hip hop'],4178,23
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",11392232,86
Hallie Coggins,5JNkPX6dYGLeEm4cUjHNGc,[],5076,57
GooGoo,42XkP61bhl484R4ear0pgx,[],2440,43
OHMYMEITING,5ejbZdon0riCxa7GyJNEAx,"['singaporean mandopop', 'taiwan pop']",19567,36
JAY B,3IjHX8KZKoeq3X4QgXxqbT,['k-pop'],616173,47
The Walters,027TpXKGwdXP7iwbjUSpV8,"['chicago indie', 'pov: indie']",763684,72
ITZY,2KC9Qb60EaY0kW4eH68vr3,"['k-pop', 'k-pop girl group']",7547406,69
Seori,74eX4C98E4FCrAMl39qRsJ,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",2134734,63
Daya,6Dd3NScHWwnW6obMFbl1BH,"['alt z', 'pop']",1653543,71
踢萬8IG8A8Y,1B3iAH9YqXMuW8CgnLEq8R,['taiwan hip hop'],537,17
Crush,6aLdhHUqgdKE86xbtNmY8g,"['k-pop', 'korean r&b']",1215893,64
Way Of Puzzle,1ZETPP9nrIMNM7luXA2u5p,"['taiwan indie', 'taiwan punk']",7518,21
Tanya Chua,376pcuw4IgWBMOUwCr8kIm,"['mandopop', 'singaporean mandopop', 'singaporean pop', 'singaporean singer-songwriter', 'taiwan singer-songwriter']",552497,59
Wizkid,3tVQdUvClmAT7URs9V3rsp,"['afrobeats', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']",5814187,77
Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",2102504,71
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",32006274,92
馬佳,5psFL2JXNonAFo21v6ZMfT,[],2,8
Dean Martin,49e4v89VmlDcFCMyDv9wQ9,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",1721137,67
Riton,7i9j813KFoSBMldGqlh2Z1,"['house', 'pop dance', 'uk dance']",141843,67
VICTON,0ziR2zN0NFcB4x1G3P8cW3,"['k-pop', 'k-pop boy group']",926705,42
Angela Chang,4txug0T3vYc9p20tuhfCUa,['mandopop'],542470,52
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",26089649,86
yama,7kOrrFIBIBc8uCu2zbxbLv,"['j-pop', 'japanese teen pop']",1236830,60
陳粒,3SyC3U06X0DjdWd2Jf6V8Q,"['chinese minyao', 'chinese singer-songwriter']",183859,49
Grøøvy Wave,6HqmlsfifsmffzFxQoSZBC,['chinese melodic rap'],548,8
Darlene Love,391oLRVmoTkumiN79HkTWu,[],57477,40
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"['alternative pop rock', 'pov: indie']",1838371,79
Pika Chiu,5SIsztzgW9ErZcWRnp2hdS,"['taiwan pop', 'taiwan singer-songwriter']",11845,36
U:NUS,5MU3mwZkyvAeTD2vEMs6dZ,[],9556,31
HIGHLIGHT,3T0fMfxYBU3q9oAUAdPIsr,"['k-pop', 'k-pop boy group']",514755,43
Amazing Show,3n16EAnJtz6SZGx2zJssrI,"['mandopop', 'taiwan indie', 'taiwan pop', 'taiwan punk']",177478,49
Farruko,329e4yvIujISKGKz1BZZbO,"['reggaeton', 'trap latino', 'urbano latino']",15911177,83
Steve Aoki,77AiFEVeAVj2ORpC85QVJs,"['edm', 'electro house', 'pop dance']",3778089,71
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,"['canadian pop', 'candy pop', 'dance pop', 'pop']",11201352,77
Liam Payne,5pUo3fmmHT8bhCyHE52hA6,['pop'],10027043,61
Jordan Chan,4EefQ1H6Qg9W5Gv7eVLC9U,['mandopop'],146499,48
國泰世華銀行,76SMu2cqA4QklNxJIHlzE7,[],4509,8
