date,rank,track_name,artist_names,peak_rank,previous_rank,days_on_chart,streams,track_id,artist_id
2023-09-13,60,親愛的對象 - 《關於我和鬼變成家人的那件事》電影主題曲,Jolin Tsai,2,63,280,"17,073",70ywpHtaToCmnULRT9Vu4p,1r9DuPTHiQ7hnRRZ99B8nL
2023-09-13,61,一直都在 - 《我的麻吉4個鬼》電影主題曲,WeiBird,33,53,31,"16,968",2pjAig6rbTn1Th9p9yjjwd,7y3HnWCFEvWj4KM9GFSkiX
2023-09-13,62,好不容易 (《華燈初上》片尾曲),告五人,2,61,640,"16,963",6jNy9WM3zyvG9E5bdVALl8,6xErgeZYatiaQ36SB5bvi8
2023-09-13,63,雪 Distance,"Capper, 羅言",7,66,179,"16,753",0EpH84Gd5z9xDavnWowfaC,0NWX8s7X9gtjad7sIB0uba
2023-09-13,64,仗着,陈壹千,20,57,213,"16,736",2hSRWmpK1gSuMTF3IvXfcC,21pP8kvWpNCDhy2fMOTOAf
2023-09-13,65,New Jeans,NewJeans,5,58,69,"16,373",6rdkCkjk6D12xRpdMXy0I2,6HvZYsbFfjnjFrWF950C9d
2023-09-13,66,Ghost,Justin Bieber,12,68,706,"16,372",6I3mqTwhRpn34SLVafSH7G,1uNFoZAHBGtllmzznpCI3s
2023-09-13,67,UNFORGIVEN (feat. Nile Rodgers),"LE SSERAFIM, Nile Rodgers",2,73,136,"16,343",51vRumtqbkNW9wrKfESwfu,4SpbR6yFEvexJuaBpgAU5p
2023-09-13,68,Blue,V,53,69,6,"16,320",2UU11hvjN1JIn4iihEodNT,3JsHnjpbhX4SnySpvpa9DK
2023-09-13,69,TOMBOY,(G)I-DLE,3,71,549,"16,265",0IGUXY4JbK18bu9oD4mPIm,2AfmfGFbe0A0WsTYm0SDTx
2023-09-13,70,For Us,V,52,74,6,"16,226",4HAOgAnILvXCbSODMoRnmD,3JsHnjpbhX4SnySpvpa9DK
2023-09-13,71,紅色高跟鞋,Tanya Chua,41,67,1410,"16,154",5DSF1VTSaaAFIesJLlltuM,376pcuw4IgWBMOUwCr8kIm
2023-09-13,72,嘉宾,张远,5,70,738,"16,050",1IVj6CsBbTgOEpo0W6hgwN,3PutidTQajzWO1gTetJReW
2023-09-13,73,這樣就很好,Nicky Lee,73,104,2,"15,917",2uXU9BDz57vdTP5TH59WwL,6DuHQk8gJbyVlhajer8IuF
2023-09-13,74,遇見,Stefanie Sun,42,65,352,"15,871",3xJK8ywApYVEYIDhymYMC6,0SIXZXJCAhNU8sxK0qm7hn
2023-09-13,75,Killin’ Me Good,JIHYO,11,72,27,"15,790",0YlS16W4HY6CJVk7Q750Yu,7F1iAHRYxR3MY7yAEuFqgL
2023-09-13,76,Pink Venom,BLACKPINK,1,79,391,"15,720",5zwwW9Oq7ubSxoCGyW1nbY,41MozSoPIsD1dJM0CLPjZF
2023-09-13,77,I Like Me Better,Lauv,18,75,48,"15,565",0EcQcdcbQeVJn9fknj44Be,5JZ7CnR6gTvEMKX4g70Amv
2023-09-13,78,多遠都要在一起,G.E.M.,54,81,400,"15,534",55d0jw269HE9pbOt5ntCo8,7aRC4L63dBn3CiLDuWaLSI
2023-09-13,79,十年,Eason Chan,52,80,358,"15,525",25pWemriUQVrZ3yIiS2IBf,2QcZxAgcs2I1q7CtCkl6MI
2023-09-13,80,夏天,Nicky Lee,76,76,44,"15,459",5plHkhLqsFla3nUJhtSZ7w,6DuHQk8gJbyVlhajer8IuF
